epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
170,1083.25,0.91812,0.58315,0.8455,0.78553,0.48962,0.58977,0.40629,0.93533,0.58356,0.84016,0.000520431,0.000520431,0.000520431
171,1089.68,0.89987,0.57142,0.84703,0.71769,0.53141,0.6081,0.4151,0.90997,0.56731,0.83606,0.000519812,0.000519812,0.000519812
172,1096.17,0.91283,0.5696,0.84622,0.82818,0.51497,0.61316,0.42446,0.90065,0.56362,0.83507,0.000519194,0.000519194,0.000519194
173,1102.39,0.88514,0.56394,0.84108,0.77875,0.55797,0.61821,0.42765,0.92293,0.5621,0.83895,0.000518575,0.000518575,0.000518575
174,1108.71,0.89481,0.56003,0.84461,0.70857,0.54188,0.59989,0.41488,0.93097,0.56889,0.84013,0.000517956,0.000517956,0.000517956
175,1115.01,0.88673,0.56096,0.84204,0.76232,0.54385,0.60626,0.42242,0.89809,0.56041,0.83533,0.000517338,0.000517338,0.000517338
176,1121.25,0.88171,0.56014,0.84228,0.76331,0.55423,0.62728,0.43662,0.88549,0.55097,0.83341,0.000516719,0.000516719,0.000516719
177,1127.5,0.91607,0.57031,0.84818,0.7869,0.55454,0.62774,0.43768,0.89986,0.5566,0.83689,0.0005161,0.0005161,0.0005161
178,1133.87,0.91878,0.57218,0.84581,0.76916,0.53202,0.61865,0.4265,0.89924,0.56462,0.83581,0.000515481,0.000515481,0.000515481
179,1140.31,0.89541,0.5627,0.84155,0.80403,0.5216,0.61273,0.42528,0.90505,0.55223,0.83464,0.000514862,0.000514862,0.000514862
180,1146.65,0.89677,0.5639,0.84242,0.74598,0.56319,0.62949,0.43115,0.88949,0.5486,0.83211,0.000514244,0.000514244,0.000514244
181,1152.99,0.86934,0.54857,0.84088,0.76573,0.54941,0.6127,0.42451,0.89438,0.55986,0.83375,0.000513625,0.000513625,0.000513625
182,1159.24,0.88657,0.55844,0.84133,0.75132,0.53154,0.60295,0.42639,0.88695,0.5537,0.83358,0.000513006,0.000513006,0.000513006
